from_id;to_id;walk_t;walk_d;bike_s_t;bike_f_t;bike_d;pt_r_tt;pt_r_t;pt_r_d;pt_m_tt;pt_m_t;pt_m_d;car_r_t;car_r_d;car_m_t;car_m_d;car_sl_t
5785640;5975375;459;32164;133;84;32340;128;111;32692;150;119;32692;62;32260;55;32297;33
5785641;5975375;422;29547;132;83;29736;135;114;32897;156;117;32897;64;32471;57;32508;33
5785642;5975375;423;29626;132;83;29736;139;116;33015;156;119;33015;64;31872;57;30133;33
5785643;5975375;427;29919;141;89;31796;150;120;33308;156;123;33308;64;34429;57;32690;33
5787544;5975375;452;31674;130;82;31801;126;104;32202;138;112;32202;61;31834;54;31872;32
5787545;5975375;453;31743;130;82;31801;126;105;32271;138;113;32271;61;32121;54;32158;32
5787546;5975375;457;31969;130;82;31801;128;109;32497;150;117;32497;64;30898;57;29159;33
5787547;5975375;420;29433;132;83;29736;144;121;33396;155;124;33396;64;31290;57;29551;33
5787548;5975375;417;29208;132;83;29736;140;117;33124;152;120;33124;64;31411;57;29672;33
5787549;5975375;419;29342;132;83;29736;144;122;33416;154;125;33416;64;31654;57;29915;33
5787550;5975375;456;31924;141;89;31796;154;110;43711;164;121;43524;64;34228;57;32489;33
5789447;5975375;413;28907;121;76;29039;88;65;29435;102;73;29435;57;29644;51;29682;29
5789448;5975375;413;28904;121;76;29036;88;65;29456;102;73;29456;57;30009;51;30047;29
5789449;5975375;414;28965;121;77;29172;88;66;29516;102;74;29516;58;30435;52;30473;30
5789450;5975375;456;31910;121;77;29172;128;108;32438;150;116;32438;58;30754;52;30791;30
5789451;5975375;456;31949;130;82;31801;128;108;32477;150;116;32477;61;32081;54;32119;32
5789452;5975375;412;28869;130;82;31801;140;116;29990;145;119;29990;63;30798;56;29059;32
5789453;5975375;413;28906;132;83;29736;140;116;30027;145;119;30027;64;30975;57;29236;33
5789454;5975375;414;28992;132;83;29736;140;117;30114;147;124;34148;63;31238;57;29499;32
5789455;5975375;417;29169;141;89;31829;145;120;30290;152;123;30290;64;31459;57;29720;33
5789456;5975375;454;31764;141;89;31829;146;107;43550;164;119;43363;70;34138;62;32399;39
5791353;5975375;418;29267;119;75;29345;90;70;29795;108;78;29795;56;29235;50;29272;29
5791354;5975375;415;29035;120;76;28881;88;67;29563;108;75;29563;58;29826;52;29863;30
5791355;5975375;408;28558;120;76;28794;82;62;29224;102;70;29224;57;30007;51;30044;29
5791356;5975375;409;28620;120;76;28742;88;67;29572;108;75;29572;58;30632;52;30669;30
5791357;5975375;410;28707;121;77;29172;90;69;29640;108;77;29640;58;30746;52;30783;30
5791358;5975375;411;28758;121;77;29172;136;114;29879;142;117;29879;58;30292;52;28553;30
